"Emissions;Carbon capture utilisation and storage;Utilisation and storage of CO<sub>2</sub>;capacity_of_energy_production_synthetic_kerosene_dispatchable;;MW"
"Costs & efficiencies;CO<sub>2</sub> capture utilisation and storage costs;Prices;costs_captured_biogenic_co2;;€/tonne"
"Costs & efficiencies;CO<sub>2</sub> capture utilisation and storage costs;Prices;costs_co2;;€/tonne"
"Costs & efficiencies;CO<sub>2</sub> capture utilisation and storage costs;Prices;costs_co2_free_allocation;;%"
"Emissions;Carbon capture utilisation and storage;Capture of CO<sub>2</sub> in energy sector;demand_of_molecules_direct_air_capture_co2;;Mton"
"Emissions;Carbon capture utilisation and storage;Utilisation and storage of CO<sub>2</sub>;demand_of_molecules_offshore_sequestration_co2;;Mton"
"Emissions;Carbon capture utilisation and storage;Utilisation and storage of CO<sub>2</sub>;demand_of_molecules_other_utilisation_co2;;Mton"
"Emissions;Carbon capture utilisation and storage;Capture of CO<sub>2</sub> in energy sector;external_coupling_energy_chp_supercritical_ccs_waste_mix_captured_co2;;%"
"Emissions;Carbon capture utilisation and storage;Utilisation and storage of CO<sub>2</sub>;external_coupling_energy_production_synthetic_kerosene_demand;;PJ"
"Emissions;Carbon capture utilisation and storage;Utilisation and storage of CO<sub>2</sub>;external_coupling_energy_production_synthetic_methanol_demand;;PJ"
"Emissions;Carbon capture utilisation and storage;Capture of CO<sub>2</sub> in industry sector;external_coupling_industry_chemical_fertilizers_combustion_ccus_capture_potential;;%"
"Emissions;Carbon capture utilisation and storage;Capture of CO<sub>2</sub> in industry sector;external_coupling_industry_chemical_fertilizers_combustion_ccus_captured_co2;;%"
"Emissions;Carbon capture utilisation and storage;Capture of CO<sub>2</sub> in industry sector;external_coupling_industry_chemical_fertilizers_combustion_ccus_electricity_use;;PJ/Mton"
"Emissions;Carbon capture utilisation and storage;Capture of CO<sub>2</sub> in industry sector;external_coupling_industry_chemical_fertilizers_processes_ccus_capture_potential;;%"
"Emissions;Carbon capture utilisation and storage;Capture of CO<sub>2</sub> in industry sector;external_coupling_industry_chemical_fertilizers_processes_ccus_captured_co2;;%"
"Emissions;Carbon capture utilisation and storage;Capture of CO<sub>2</sub> in industry sector;external_coupling_industry_chemical_fertilizers_processes_ccus_electricity_use;;PJ/Mton"
"Emissions;Carbon capture utilisation and storage;Capture of CO<sub>2</sub> in industry sector;external_coupling_industry_chemical_other_ccus_capture_potential;;%"
"Emissions;Carbon capture utilisation and storage;Capture of CO<sub>2</sub> in industry sector;external_coupling_industry_chemical_other_ccus_captured_co2;;%"
"Emissions;Carbon capture utilisation and storage;Capture of CO<sub>2</sub> in industry sector;external_coupling_industry_chemical_other_ccus_electricity_use;;PJ/Mton"
"Emissions;Carbon capture utilisation and storage;Capture of CO<sub>2</sub> in industry sector;external_coupling_industry_chemical_refineries_ccus_capture_potential;;%"
"Emissions;Carbon capture utilisation and storage;Capture of CO<sub>2</sub> in industry sector;external_coupling_industry_chemical_refineries_ccus_captured_co2;;%"
"Emissions;Carbon capture utilisation and storage;Capture of CO<sub>2</sub> in industry sector;external_coupling_industry_chemical_refineries_ccus_electricity_use;;PJ/Mton"
"Emissions;Carbon capture utilisation and storage;Capture of CO<sub>2</sub> in industry sector;external_coupling_industry_external_coupling_node_captured_co2_supply;;Mton"
"Emissions;Carbon capture utilisation and storage;Capture of CO<sub>2</sub> in industry sector;external_coupling_industry_metal_steel_ccus_capture_potential;;%"
"Emissions;Carbon capture utilisation and storage;Capture of CO<sub>2</sub> in industry sector;external_coupling_industry_metal_steel_ccus_captured_co2;;%"
"Emissions;Carbon capture utilisation and storage;Capture of CO<sub>2</sub> in industry sector;external_coupling_industry_metal_steel_ccus_electricity_use;;PJ/Mton"
"Emissions;Carbon capture utilisation and storage;Capture of CO<sub>2</sub> in industry sector;external_coupling_industry_other_food_ccus_capture_potential;;%"
"Emissions;Carbon capture utilisation and storage;Capture of CO<sub>2</sub> in industry sector;external_coupling_industry_other_food_ccus_captured_co2;;%"
"Emissions;Carbon capture utilisation and storage;Capture of CO<sub>2</sub> in industry sector;external_coupling_industry_other_food_ccus_electricity_use;;PJ/Mton"
