Var no.,Static or (change) variable,Equivalent?,Complementary ,Synthetic,InVar no.,Section,Subsection,Category,Subcategory,Subcategory 2,Subcategory 3,Value (TO UPDATE),Unit,Unit description,InVar min value,InVar max value,Short methodology desc
190,,,,,,Demand,Transport,Freight transport,Truck technology,Electric,,ETM Change Var,% share,,5%,100%,
191,,,,,,Demand,Transport,Freight transport,Truck technology,Hydrogen,,0,% share,,,,
192,,,,,,Demand,Transport,Freight transport,Truck technology,Diesel,,ETM Change Var,% share,,0%,95%,
193,,,,,,Demand,Transport,Freight transport,Truck technology,Gasoline,,0,% share,,,,
194.COM.192,,,,,,Demand,Transport,Freight transport,Truck technology,LNG,,0,% share,,,,
195,,,,,,Demand,Transport,Freight transport,Truck technology,Compressed gas,,0,% share,,,,
196,,,,,,Demand,Transport,Freight transport,Van technology,Electric,,ETM Change Var,% share,,5%,100%,
197,,,,,,Demand,Transport,Freight transport,Van technology,Hydrogen,,0,% share,,,,
198,,,,,,Demand,Transport,Freight transport,Van technology,Diesel,,ETM Change Var,% share,,0%,95%,
199,,,,,,Demand,Transport,Freight transport,Van technology,Gasoline,,0%,% share,,,,
200,,,,,,Demand,Transport,Freight transport,Van technology,LPG,,0%,% share,,,,
201,,,,,,Demand,Transport,Freight transport,Van technology,Compressed gas,,0%,% share,,,,
202,,,,,,Demand,Transport,Freight transport,Train technology,Electric,,75%,% share,,,,
203,,,,,,Demand,Transport,Freight transport,Train technology,Hydrogen,,0%,% share,,,,
204.COM.202,,,,,,Demand,Transport,Freight transport,Train technology,Diesel,,25%,% share,,,,
205,,,,,,Demand,Transport,Freight transport,Domestic navigation technology,Diesel (single / dual / multi-fuel engine),,51.00%,% share,,,,
206,,,,,,Demand,Transport,Freight transport,Domestic navigation technology,LNG,,30.00%,% share,,,,
207,,,,,,Demand,Transport,Freight transport,Domestic navigation technology,Hydrogen,,0.00%,% share,,,,
208,,,,,,Demand,Transport,Freight transport,Domestic navigation technology,Electric,,1.00%,% share,,,,
209.COM.206,,,,,,Demand,Transport,Freight transport,Domestic navigation technology,Ammonia,,8.00%,% share,,,,
210,,,,,,Demand,Transport,International transport,International transport,International aviation,,0.00%,% of total,global international transport emissions attributed to modelled country,,,
211,,,,,,Demand,Transport,International transport,International transport,International navigation,,0.00%,% of total,global international transport emissions attributed to modelled country,,,
212,,,,,,Demand,Transport,International transport,Mobility growth,International aviation,,0.00%,%/year,growth rate,,,
213,,,,,,Demand,Transport,International transport,Mobility growth,International navigation,,0.00%,%/year,growth rate,,,
214,,,,,,Demand,Transport,International transport,International aviation technology,Kerosene (mix),,100.00%,%,,,,
215,,,,,,Demand,Transport,International transport,International aviation technology,Hydrogen,,0.00%,%,,,,
216,,,,,,Demand,Transport,International transport,International aviation technology,Electricity,,0.00%,%,,,,
217,,,,,,Demand,Transport,International transport,International navigation technology,HFO,,100.00%,% share,,,,
218,,,,,,Demand,Transport,International transport,International navigation technology,LNG,,0.00%,% share,,,,
219,,,,,,Demand,Transport,International transport,International navigation technology,Hydrogen,,0.00%,% share,,,,
220.COM.218,,,,,,Demand,Transport,International transport,International navigation technology,Ammonia,,0.00%,% share,,,,
221,,,,,,Demand,Transport,International transport,International navigation technology,Electricity,,0.00%,% share,,,,
222,,,,,,Demand,Industry,Steel,Steel,,,100.00%,% production,relative to baseline year (2019),,,"In the long run UK steel production is flat, thanks to CBAM"
223,,,,,,Demand,Industry,Steel,Production route,Blast furnace,,0.00%,% share,,,,
224,,,,,,Demand,Industry,Steel,Production route,DRI (network gas),,0.00%,% share,,,,
225,,,,,,Demand,Industry,Steel,Production route,DRI (hydrogen),,0.00%,% share,,,,
226,,,,,,Demand,Industry,Steel,Production route,Cyclone furnace,,0.00%,% share,,,,
227,,,,,,Demand,Industry,Steel,Production route,Recycling / HBI,,100.00%,% share,,,,UK retains no virgin steelmaking capacity but switches entirely to electric arc furnaces for recycling
228,,,,,,Demand,Industry,Aluminium,Aluminium,,,100.00%,% production,,,,
229,,,,,,Demand,Industry,Aluminium,Production route,Electrolysis,,0.00%,% production,,,,Older process
230,,,,,,Demand,Industry,Aluminium,Production route,Electrolysis BAT,,25.00%,% production,,,,"Some virgin aluminium manufacturing exists in the UK, using the most advanced technology"
231,,,,,,Demand,Industry,Aluminium,Production route,Carbothermal reduction,,0.00%,% production,,,,Carbon intensive
232,,,,,,Demand,Industry,Aluminium,Production route,Smelt oven (recycling),,75.00%,% production,,,,Most of UK aluminium demand is met either by recycling or imports
233,,,,,,Demand,Industry,Other metals,Other metals,,,100.00%,% production,,,,
234,,,,,,Demand,Industry,Other metals,Efficiency improvement (in total),Electricity,,33.00%,% ,,,,
235,,,,,,Demand,Industry,Other metals,Efficiency improvement (in total),Heat,,33.00%,%,,,,
236,,,,,,Demand,Industry,Refineries,Size,,,50.00%,% total,production relative to base year,,,
237,,,,,,Demand,Industry,Refineries,Efficiency improvement (in total),Electricity,,33.00%,% total,improvement relative to base year,,,
238,,,,,,Demand,Industry,Refineries,Efficiency improvement (in total),Heat,,33.00%,% total,improvement relative to base year,,,
239,,,,,,Demand,Industry,Refineries,Heat production,Gas-fired heater,,33.30%,%,,,,
