Var no.,Section,Subsection,Category,Subcategory,Subcategory 2,Subcategory 3,database_item,Extended_type
261,Demand,Industry,Chemicals,Efficiency improvement (in total),Heat,,industry_useful_demand_for_chemical_other_useable_heat_efficiency,
262,Demand,Industry,Chemicals,Heat production,Gas-fired heater,,industry_chemicals_other_burner_network_gas_share,
263,Demand,Industry,Chemicals,Heat production,Oil-fired heater,,industry_chemicals_other_burner_crude_oil_share,
264,Demand,Industry,Chemicals,Heat production,Coal-fired heater,,industry_chemicals_other_burner_coal_share,
265,Demand,Industry,Chemicals,Heat production,Biomass-fired heater,,industry_chemicals_other_burner_wood_pellets_share,
266,Demand,Industry,Chemicals,Heat production,H2-fired heater,,industry_chemicals_other_burner_hydrogen_share,
267,Demand,Industry,Chemicals,Heat production,Electric boiler,,industry_chemicals_other_heater_electricity_share,
268,Demand,Industry,Chemicals,Heat production,Mechanical vapour recompression,,industry_chemicals_other_steam_recompression_electricity_share,
269,Demand,Industry,Chemicals,Heat production,Heat pump,,industry_chemicals_other_heatpump_water_water_electricity_share,
270,Demand,Industry,Chemicals,Heat production,Steam network,,,
271,Demand,Industry,Chemicals,Hybrid heating,Power-to-heat boiler for gas and H2 heaters,,capacity_of_industry_chemicals_other_flexibility_p2h_electricity,
272,Demand,Industry,Chemicals,Non-energetic use,Biomass,,industry_chemicals_other_wood_pellets_non_energetic_share,
273,Demand,Industry,Chemicals,Non-energetic use,Hydrogen,,industry_chemicals_other_hydrogen_non_energetic_share,
274,Demand,Industry,Chemicals,Non-energetic use,Network gas,,industry_chemicals_other_network_gas_non_energetic_share,
275,Demand,Industry,Chemicals,Non-energetic use,Oil ,,industry_chemicals_other_crude_oil_non_energetic_share,
276,Demand,Industry,Chemicals,Non-energetic use,Coal,,industry_chemicals_other_coal_non_energetic_share,
277,Demand,Industry,Central ICT,Size,,,industry_useful_demand_for_other_ict,
278,Demand,Industry,Central ICT,Efficiency improvement (in total),,,industry_useful_demand_for_other_ict_efficiency,
279,Demand,Industry,Food ,Size,,,industry_useful_demand_for_other_food,
280,Demand,Industry,Food ,Efficiency improvement (in total),Electricity,,industry_useful_demand_for_other_food_electricity_efficiency,
281,Demand,Industry,Food ,Efficiency improvement (in total),Heat,,industry_useful_demand_for_other_food_useable_heat_efficiency,
282,Demand,Industry,Food ,Heat production,Gas-fired heater,,industry_other_food_burner_network_gas_share,
283,Demand,Industry,Food ,Heat production,Oil-fired heater,,industry_other_food_burner_crude_oil_share,
