short_name,title,area_code,end_year,description,id,keep_compatible,curve_file
sample_0,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_1,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_2,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_3,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_4,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_5,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_6,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_7,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_8,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_9,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_10,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_11,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_12,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_13,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_14,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_15,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_16,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_17,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_18,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_19,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_20,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_21,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_22,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_23,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_24,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_25,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_26,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_27,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_28,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_29,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_30,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_31,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_32,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_33,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_34,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_35,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_36,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_37,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_38,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_39,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_40,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_41,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_42,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_43,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_44,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_45,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_46,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_47,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_48,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_49,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_50,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_51,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_52,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_53,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_54,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_55,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_56,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
sample_57,Scenario_sample,UK_united_kingdom,2020,sample,1362080,False,
